Department,Revised_Department,Group_Name,Building,Notes
food science and technology,Food Science & Technology,%gladyshev%walter%benson%drose%jclarke%hutkinslab%hallenadams%ramertait%roselab%foodsafety%sinha%biopeptide%auchtunglab%yinlab%xulab%chaveslab%fdst396%izardlabhcc%fdst430%gomesneto2%fdst460%group1535%deehanlab,Food Innovation Center,
engineering,,%perez%li%amsl%statcybersec,,Department is too broad
computer science and engineering,School of Computing,%swanson%elbaum%jiang%costello%ramamurthy%choueiry%srisa-an%deogun%samal%scott%reichenbach%cohen%cse856%lxu%vinod%vuran%cse435%radiology%bockelman%esquared%osg%nimbus%juancui%fnal_users%cse896%cse990%plantvision%yingresearch%cse990ying%dwyer%cse496dl%csce421821%hccdata%20180611test%cseos2g%nextt%seresl%csce465%raikesds%emse%mrhasanlab%cse479%bagheri%csesd%surge%cse465865%efuchstest%mygroup%unsat%purgatory%dweitzel%idealab%dyerlab%yaolab%nexttngran%sdhcc,Avery Hall,
physics and astronomy,Physics and Astronomy,%starace%tsymbal%sellmyer%dominguez%hep%umstadter%snow%batelaan%belashchenko%ducharme%shadwick%gay%fabrikant%bloom%velev%centurion%kovalev%xuphysics%fuchs%yostgroup%ngoko%rskomski%tranthamkw%uiterwaallab%golfclass%awysocki%xuferrofilms%armstronggrp%phys360%galaxyimage,Theodore Jorgensen Hall,
research,School of Computing,%goddard%carriesgroup%hjkg,Avery Hall,
earth and atmospheric sciences,Earth and Atmospheric Sciences,%rowe%anderson%loope%ahouston%bigweather%oglesby%idb%vandenbroeke%gates%fritz%glimpert%metr908%dixon%haackerlab%chenclimate,Bessey Hall,
chemistry,Chemistry,%zeng%g03%parkhurst%dimagno%harbison%berkowitz%du%powers%eckhardt%cheung%li508%zhonggroup%takacs%rajca%chem953%chem484%jzhang%jguo4%mahesh%zhangchem%kovacslab%doanesikich%liangchengdu%langell%rlai%yesselmanlab%chem991e%doddsgroup%eichhornlab%sinitskiilab%pandelab%checcolab%yinshengguo%dussaultplab%checco%joeyaolab%moxleylab,Hamilton Hall,
computer science & engineering,School of Computing,%seth%cse429%liu%condor%hochstein%ddowney%fleshner%upr%reserachcp%mysqlladunga%nwu%visunl%asarma%sarma%bioinfo2014%rsacrack,Avery Hall,
mechanical and materials engineering,Mechanical & Materials Engineering,%mwrsf%bobaru%gogos%jaturner%feng%mech950%dzenis%shield%jbartonme%mnegahban%rfeng%gulinxia%colek%cwsto2%farritor%cnelson5%nmrlndao%minds%trlab%perovskite%raogroup%yanggroup%parklab%tml2017%sealy%laraouilab%jungyullim%modal%hmsfsae%n2e2%dsl%markvickalab%namalab,Nebraska Hall,
geoscience,Earth and Atmospheric Sciences,%parker%glims,Bessey Hall,
holland computing center,Holland Computing Center,%cse496%cse456%galaxy%geos900%eng2014%osgus%testgroup02%nbdybutchkns,Schorr Center,
agronomy & horticulture,Agronomy and Horticulture,%diestler%cassman%kcassman%testing%dweikat%lagrimini%schachtman%drijberlab,Beadle Center,
,,%narayanan%caldwell%merillium%chess%guest%wang%nopbs%stezowski%gdm%cusack%gaskell%allen%sridhar%parprog%rcfsrv%morc%nagiocmd%outreach%zhang%brand%bleak%t3-ku%t3-ksu%uno%unmccompchem,,No department
electrical and computer engineering,Electrical & Computer Engineering,%bahar%sayood%yang%hoffman%lu%han%wysocki%tellab%nianno%machines%markatlnk%balkir%schubert%otu%eevak%eenji%netthinker%qinghuilab%ecepsrg%cnsunl%pesl%imageslab%argyropoulos%harmslab%csce471%rfgroup%qphoxonics%cest4mri%vakilzadian,Scott Engineering Center,
educational media,Education and Human Sciences,%deallab,Carolyn Pope Edwards Hall,
retirees,Physics and Astronomy,%jaecks%jaswal%dmarx,Theodore Jorgensen Hall,
agronomy and horticulture,Agronomy and Horticulture,%mackenzie%mower%entomology%amundsen%waters%baenziger%walia%lorenz%agrobinf%sattler%schachtmanlb%popcorn%grassini%schnablelab%staswick%stablefly%soybean%yerka%unlsbp%lindquist%twidwell%cropmodel%jyanglab%agro932%libaultlab%jarquin%sunflower%frelslab%holdinglab%maharjanlab%ricelab,Beadle Center,
earth & atmospheric sciences,Earth and Atmospheric Sciences,%chen%gates_eas%nasawrf,Bessey Hall,
chemical and biomolecular engineering,Chemical & Biomolecular Engineering,%bsbm%alexandrov%ssbio%chme412%focuslab%disharigroup%viljoen%bavarian%niulab,Othmer Hall,
engineering computer science,School of Computing,%cse477%soh%pierolab%thinklab%cooperluther%swanlab%cse492%csce401h%csce474%purandare%hwaccel%socnie%cseguo%ghostlab%cse492genai,Avery Hall,
